item_code,HV,SS,OS,MS,weight,description
1.1.12.3.1.03.X,2.0039775448998034,0.0,,,0.5540197783920799,prepared sweets; cake; pastry
1.1.12.3.1.04.0,1.9936672641906281,0.0,,,0.45657981736807,papad; bhujia; namkeen; mixture; chanachur
1.1.12.3.1.05.0,2.348802358455042,0.0,,,0.07819996872001,other packaged processed food
1.2.11.1.1.01.0,4.085560522444675,0.0,,,0.95779961688015,tea: leaf (gm)
1.2.11.1.1.02.0,7.10073074728938,0.15059420588394656,,,0.058699976519999995,coffee: powder (gm)
1.2.11.2.1.01.0,1.1136079695851966,0.0,,,0.016009993596,mineral water (litre)
1.2.11.2.1.02.X,1.8265948038294706,0.0,,,0.08849996460001,cold beverages: bottled/canned (litre)
1.2.11.2.1.03.X,0.9837547566519073,0.0,,,0.051489979404,fruit juice and shake (litre)
1.2.11.2.1.04.X,1.4607069972312556,0.009773124730047877,,,0.08626996549201,other beverages: cocoa; chocolate; etc.
2.1.01.1.1.01.0,3.7101292435929745,0.0,,,0.35365985853605,country liquor (litre)
2.1.01.1.1.02.0,5.8139473635675065,0.0,,,0.40343983862406,foreign/refined liquor or wine (litre)
2.1.01.1.1.03.0,7.842842476873314,0.0,,,0.057879976847999996,toddy (litre)
2.1.01.1.1.04.0,6.398258843852763,0.0,,,0.059319976272,beer (litre)
2.1.01.1.1.05.0,4.5365758449203994,0.0,,,0.07638996944401,other intoxicants
2.1.01.2.1.01.0,4.620017669473818,0.07980883264829086,,,0.06395997441601,pan: leaf (no.)
2.1.01.2.1.02.0,2.4957565466660996,0.0,,,0.15532993786802,pan: finished (no.)
2.1.01.2.1.03.X,3.6142029270401492,0.0,,,0.13112994754802001,ingredients for pan (gm)
2.1.01.3.1.01.0,2.958161110930819,0.0,,,0.42637982944805997,bidi (no.)
2.1.01.3.1.02.X,4.599056191457763,0.006168766724964914,,,0.22927990828803002,cigarettes (no.)
2.1.01.3.1.03.0,2.4359436726762667,0.006348895224143836,,,0.09989996004001,leaf tobacco (gm)
2.1.01.3.1.04.0,7.022336598725965,0.03016701953758616,,,0.0005599997760000894,snuff (gm)
2.1.01.3.1.05.0,4.26376500518391,0.0,,,0.005809997676000929,hookah tobacco (gm)
2.1.01.3.1.06.0,6.8593811652311825,0.0,,,0.004239998304000678,cheroot (no.)
2.1.01.3.1.07.0,4.824239448219684,0.0,,,0.048689980524000004,zarda; kimam; surti (gm)
2.1.01.3.1.08.0,3.923568252563438,0.0,,,0.26360989455604,other tobacco products
3.1.01.1.1.01.0,3.1665534662674673,0.0,,,0.07464997014001,dhoti (no.)
3.1.01.1.1.02.0,2.4208520856769313,0.0,,,0.89660964135614,saree (no.)
3.1.01.1.1.03.X,2.7985185216522215,0.0,,,0.08229996708001,shawl; chaddar (no.)
3.1.01.1.1.04.0,3.5928822733709254,0.0,,,0.11462995414801,lungi (no.)
3.1.01.1.1.05.0,2.8931032398960013,0.030920388028487844,,,0.05529997788,kurta-pajama suits: males (no.)
3.1.01.1.1.06.X,2.5922160835699204,0.015892845850597692,,,0.56645977341609,shirts; T-shirts (no.)
3.1.01.1.1.07.X,2.1373419266039444,0.025732437894241067,,,0.55364977854008,shorts; trousers; bermudas (no.)
3.1.01.1.1.08.X,3.2653287141036302,0.0,,,0.49076980369207,baniyan; socks; other hosiery and undergarments; etc. (no.)
3.1.01.1.1.09.0,1.911619346649912,0.0,,,0.22294991082003002,kurta-pajama suits: females (no.)
